编号,模块,测试方法,输入/操作,预期输出,真实输出,测试结论
TC-135,结账与下单模块,场景法,登录后进入 Address Details 页,显示送货/账单地址,,
TC-136,结账与下单模块,等价类,地址信息与注册资料相符,资料正确带入,,
TC-137,结账与下单模块,等价类,Review Your Order 显示商品明细,明细与购物车一致,,
TC-138,结账与下单模块,边界值,订单留言 Comment 空白,可继续下单,,
TC-139,结账与下单模块,等价类,订单留言填写文字,留言被保存提交,,
TC-140,结账与下单模块,场景法,点 Place Order 进入付款页,显示 Payment 表单,,
TC-141,结账与下单模块,等价类,填写有效信用卡信息提交,显示订单成功 placed successfully,,
TC-142,结账与下单模块,边界值,卡号空白提交,必填提示，无法下单,,
TC-143,结账与下单模块,边界值,卡号填非数字,验证提示或拒绝,,
TC-144,结账与下单模块,边界值,CVC 空白提交,必填提示,,
TC-145,结账与下单模块,边界值,CVC 填超过 3-4 位,依规则处理,,
TC-146,结账与下单模块,边界值,到期月份空白,必填提示,,
TC-147,结账与下单模块,边界值,到期年份空白,必填提示,,
TC-148,结账与下单模块,等价类,Name on Card 空白,必填提示,,
TC-149,结账与下单模块,安全性,卡号栏输入 SQL 注入字串,安全处理不泄露错误,,
TC-150,结账与下单模块,安全性,Name on Card 输入 XSS,被转义不执行,,
TC-151,结账与下单模块,场景法,下单成功后显示 Order Placed!,显示成功页,,
TC-152,结账与下单模块,场景法,下单成功 Download Invoice,可下载发票文件,,
TC-153,结账与下单模块,场景法,下单后 Continue 返回首页,正确返回,,
TC-154,结账与下单模块,场景法,未登录直接进结账流程,导向登录/注册,,
TC-155,结账与下单模块,场景法,结账页 Register / Login 链接,正确导向,,
TC-156,结账与下单模块,判定表,结账金额总计正确,Total 与购物车一致,,
TC-157,结账与下单模块,场景法,下单后购物车清空,购物车回到空状态,,
TC-158,结账与下单模块,兼容性,移动设备完成结账,流程可顺利完成,,
TC-159,结账与下单模块,场景法,结账途中返回购物车修改,可返回并重新结账,,
TC-160,结账与下单模块,场景法,完整下单后删除账号清理,账号删除成功,,
