编号,模块,测试方法,输入/操作,预期输出,真实输出,测试结论
TC-183,订阅与其他功能模块,等价类,页脚输入有效 Email 订阅,显示 successfully subscribed!,,
TC-184,订阅与其他功能模块,边界值,订阅 Email 空白提交,必填提示，无法提交,,
TC-185,订阅与其他功能模块,等价类,订阅 Email 格式错误,格式验证提示,,
TC-186,订阅与其他功能模块,等价类,重复 Email 再次订阅,正确处理(成功或提示),,
TC-187,订阅与其他功能模块,安全性,订阅栏输入 XSS 字串,被转义不执行,,
TC-188,订阅与其他功能模块,场景法,首页页脚订阅,订阅成功,,
TC-189,订阅与其他功能模块,场景法,购物车页页脚订阅,订阅成功,,
TC-190,订阅与其他功能模块,场景法,点右下 Scroll Up 箭头,页面滚回顶部,,
TC-191,订阅与其他功能模块,场景法,进入 Test Cases 页,显示测试案例清单页,,
TC-192,订阅与其他功能模块,场景法,进入 API Testing 页,显示 API List 页,,
TC-193,订阅与其他功能模块,场景法,进入 Video Tutorials,导向教学视频,,
TC-194,订阅与其他功能模块,场景法,点顶部导航 Home,返回首页,,
TC-195,订阅与其他功能模块,场景法,点导航 Products,进入商品页,,
TC-196,订阅与其他功能模块,场景法,点导航 Cart,进入购物车页,,
TC-197,订阅与其他功能模块,场景法,点导航 Signup / Login,进入登录页,,
TC-198,订阅与其他功能模块,场景法,点导航 Contact us,进入联系页,,
TC-199,订阅与其他功能模块,兼容性,移动设备查看首页 RWD,版面正常自适应,,
TC-200,订阅与其他功能模块,兼容性,Firefox 查看首页,显示正常,,
TC-201,订阅与其他功能模块,等价类,首页轮播图正常显示,图片不破图,,
TC-202,订阅与其他功能模块,场景法,页脚链接可正常点击,导向正确页面,,
TC-203,订阅与其他功能模块,等价类,订阅 Email 含中文域名,依规则处理,,
TC-204,订阅与其他功能模块,场景法,登录状态下订阅电子报,订阅成功,,
TC-205,订阅与其他功能模块,场景法,未登录状态下订阅电子报,订阅成功,,
