編號,模組,測試方法,輸入/操作,預期輸出,真實輸出,測試結論
TC-084,商品瀏覽與詳情模組,場景法,點 Products 進入商品列表,顯示 All Products 清單,,
TC-085,商品瀏覽與詳情模組,場景法,點任一商品 View Product,進入商品詳情頁,,
TC-086,商品瀏覽與詳情模組,等價類,詳情頁顯示名稱/價格/類別,資訊完整正確顯示,,
TC-087,商品瀏覽與詳情模組,等價類,詳情頁顯示 Availability/Condition/Brand,資訊正確顯示,,
TC-088,商品瀏覽與詳情模組,邊界值,詳情頁數量輸入 1,可加入購物車,,
TC-089,商品瀏覽與詳情模組,邊界值,詳情頁數量輸入 0,拒絕或提示無效數量,,
TC-090,商品瀏覽與詳情模組,邊界值,詳情頁數量輸入負數,拒絕或提示無效,,
TC-091,商品瀏覽與詳情模組,邊界值,詳情頁數量輸入很大值(999),正常處理不崩潰,,
TC-092,商品瀏覽與詳情模組,等價類,詳情頁數量輸入非數字,拒絕或提示,,
TC-093,商品瀏覽與詳情模組,場景法,詳情頁 Add to cart 指定數量,購物車數量與輸入相符,,
TC-094,商品瀏覽與詳情模組,場景法,左側 Category 展開 Women,顯示子類別,,
TC-095,商品瀏覽與詳情模組,場景法,點 Category 子類別,顯示該類別商品,,
TC-096,商品瀏覽與詳情模組,場景法,右側 Brands 點任一品牌,顯示該品牌商品,,
TC-097,商品瀏覽與詳情模組,等價類,商品圖片正常載入,圖片顯示不破圖,,
TC-098,商品瀏覽與詳情模組,場景法,撰寫商品評論 Write Your Review,提交後顯示成功訊息,,
TC-099,商品瀏覽與詳情模組,等價類,評論 Name/Email/Review 空白送出,必填提示,,
TC-100,商品瀏覽與詳情模組,安全性,評論欄輸入 XSS 字串,被轉義不執行,,
TC-101,商品瀏覽與詳情模組,場景法,詳情頁回上一頁返回列表,正確返回,,
TC-102,商品瀏覽與詳情模組,場景法,商品列表捲動載入更多,商品正常顯示,,
TC-103,商品瀏覽與詳情模組,相容性,行動裝置瀏覽商品列表,版面 RWD 正常,,
TC-104,商品瀏覽與詳情模組,場景法,點 View Cart 連結,進入購物車頁,,
TC-105,商品瀏覽與詳情模組,等價類,價格顯示含貨幣符號,格式正確,,
TC-106,商品瀏覽與詳情模組,場景法,Recommended items 區塊加入購物車,成功加入,,
TC-107,商品瀏覽與詳情模組,場景法,首頁輪播/分類導覽連結,可正常導覽,,
TC-108,商品瀏覽與詳情模組,場景法,Home 連結返回首頁,正確返回首頁,,
