编号,模块,测试方法,输入/操作,预期输出,真实输出,测试结论
TC-031,用户登录模块,等价类,正确 Email + 正确密码,登录成功，显示 Logged in as <name>,,
TC-032,用户登录模块,等价类,正确 Email + 错误密码,提示 Your email or password is incorrect!,,
TC-033,用户登录模块,等价类,未注册 Email + 任意密码,提示账密错误，登录失败,,
TC-034,用户登录模块,边界值,Email 与密码皆空白提交,必填提示，无法提交,,
TC-035,用户登录模块,边界值,仅填 Email 不填密码,必填提示，无法提交,,
TC-036,用户登录模块,边界值,仅填密码不填 Email,必填提示，无法提交,,
TC-037,用户登录模块,等价类,Email 格式错误(缺 @),前端 Email 格式提示,,
TC-038,用户登录模块,边界值,密码仅 1 字符,登录失败，提示账密错误,,
TC-039,用户登录模块,边界值,密码超长(64+字符),登录失败不崩溃,,
TC-040,用户登录模块,等价类,Email 大小写混合(已注册),依系统规则判定一致,,
TC-041,用户登录模块,等价类,Email 前后含空白,trim 后判定或提示,,
TC-042,用户登录模块,安全性,Email 栏 ' OR '1'='1' --,登录失败，不泄露数据库错误,,
TC-043,用户登录模块,安全性,密码栏 ' OR '1'='1' --,登录失败，不绕过验证,,
TC-044,用户登录模块,安全性,Email 栏 <script>alert(1)</script>,输入被转义，不执行脚本,,
TC-045,用户登录模块,场景法,登录成功后点 Logout,登出并回到登录页,,
TC-046,用户登录模块,场景法,登录→关闭再开启页面,依 session 规则维持或需重新登录,,
TC-047,用户登录模块,场景法,未登录访问需登录页(checkout),导向登录或提示,,
TC-048,用户登录模块,等价类,连续多次错误密码,持续提示错误(观察是否锁定),,
TC-049,用户登录模块,等价类,已删除账号再登录,登录失败，提示账密错误,,
TC-050,用户登录模块,兼容性,于 Chrome 登录,功能正常,,
TC-051,用户登录模块,兼容性,于 Firefox 登录,功能正常,,
TC-052,用户登录模块,兼容性,于移动设备宽度登录,版面正常可操作,,
TC-053,用户登录模块,等价类,密码含特殊字符(正确),登录成功,,
TC-054,用户登录模块,边界值,Email 超长(100+字符),登录失败不崩溃,,
TC-055,用户登录模块,场景法,登录后加入购物车再登出,购物车状态依规则处理,,
TC-056,用户登录模块,等价类,浏览器自动填入账密登录,可成功登录,,
TC-057,用户登录模块,等价类,复制粘贴账密登录,可成功登录,,
TC-058,用户登录模块,场景法,登录页同时测 Signup 区块互不干扰,两表单独立运作,,
