编号,模块,测试方法,输入/操作,预期输出,真实输出,测试结论
TC-084,商品浏览与详情模块,场景法,点 Products 进入商品列表,显示 All Products 清单,,
TC-085,商品浏览与详情模块,场景法,点任一商品 View Product,进入商品详情页,,
TC-086,商品浏览与详情模块,等价类,详情页显示名称/价格/类别,信息完整正确显示,,
TC-087,商品浏览与详情模块,等价类,详情页显示 Availability/Condition/Brand,信息正确显示,,
TC-088,商品浏览与详情模块,边界值,详情页数量输入 1,可加入购物车,,
TC-089,商品浏览与详情模块,边界值,详情页数量输入 0,拒绝或提示无效数量,,
TC-090,商品浏览与详情模块,边界值,详情页数量输入负数,拒绝或提示无效,,
TC-091,商品浏览与详情模块,边界值,详情页数量输入很大值(999),正常处理不崩溃,,
TC-092,商品浏览与详情模块,等价类,详情页数量输入非数字,拒绝或提示,,
TC-093,商品浏览与详情模块,场景法,详情页 Add to cart 指定数量,购物车数量与输入相符,,
TC-094,商品浏览与详情模块,场景法,左侧 Category 展开 Women,显示子类别,,
TC-095,商品浏览与详情模块,场景法,点 Category 子类别,显示该类别商品,,
TC-096,商品浏览与详情模块,场景法,右侧 Brands 点任一品牌,显示该品牌商品,,
TC-097,商品浏览与详情模块,等价类,商品图片正常加载,图片显示不破图,,
TC-098,商品浏览与详情模块,场景法,撰写商品评论 Write Your Review,提交后显示成功消息,,
TC-099,商品浏览与详情模块,等价类,评论 Name/Email/Review 空白提交,必填提示,,
TC-100,商品浏览与详情模块,安全性,评论栏输入 XSS 字串,被转义不执行,,
TC-101,商品浏览与详情模块,场景法,详情页回上一页返回列表,正确返回,,
TC-102,商品浏览与详情模块,场景法,商品列表滚动加载更多,商品正常显示,,
TC-103,商品浏览与详情模块,兼容性,移动设备浏览商品列表,版面 RWD 正常,,
TC-104,商品浏览与详情模块,场景法,点 View Cart 链接,进入购物车页,,
TC-105,商品浏览与详情模块,等价类,价格显示含货币符号,格式正确,,
TC-106,商品浏览与详情模块,场景法,Recommended items 区块加入购物车,成功加入,,
TC-107,商品浏览与详情模块,场景法,首页轮播/分类导航链接,可正常导航,,
TC-108,商品浏览与详情模块,场景法,Home 链接返回首页,正确返回首页,,
