編號,模組,測試方法,輸入/操作,預期輸出,真實輸出,測試結論
TC-031,使用者登入模組,等價類,正確 Email + 正確密碼,登入成功，顯示 Logged in as <name>,,
TC-032,使用者登入模組,等價類,正確 Email + 錯誤密碼,提示 Your email or password is incorrect!,,
TC-033,使用者登入模組,等價類,未註冊 Email + 任意密碼,提示帳密錯誤，登入失敗,,
TC-034,使用者登入模組,邊界值,Email 與密碼皆空白送出,必填提示，無法送出,,
TC-035,使用者登入模組,邊界值,僅填 Email 不填密碼,必填提示，無法送出,,
TC-036,使用者登入模組,邊界值,僅填密碼不填 Email,必填提示，無法送出,,
TC-037,使用者登入模組,等價類,Email 格式錯誤(缺 @),前端 Email 格式提示,,
TC-038,使用者登入模組,邊界值,密碼僅 1 字元,登入失敗，提示帳密錯誤,,
TC-039,使用者登入模組,邊界值,密碼超長(64+字元),登入失敗不崩潰,,
TC-040,使用者登入模組,等價類,Email 大小寫混合(已註冊),依系統規則判定一致,,
TC-041,使用者登入模組,等價類,Email 前後含空白,trim 後判定或提示,,
TC-042,使用者登入模組,安全性,Email 欄 ' OR '1'='1' --,登入失敗，不外洩資料庫錯誤,,
TC-043,使用者登入模組,安全性,密碼欄 ' OR '1'='1' --,登入失敗，不繞過驗證,,
TC-044,使用者登入模組,安全性,Email 欄 <script>alert(1)</script>,輸入被轉義，不執行腳本,,
TC-045,使用者登入模組,場景法,登入成功後點 Logout,登出並回到登入頁,,
TC-046,使用者登入模組,場景法,登入→關閉再開啟頁面,依 session 規則維持或需重新登入,,
TC-047,使用者登入模組,場景法,未登入存取需登入頁(checkout),導向登入或提示,,
TC-048,使用者登入模組,等價類,連續多次錯誤密碼,持續提示錯誤(觀察是否鎖定),,
TC-049,使用者登入模組,等價類,已刪除帳號再登入,登入失敗，提示帳密錯誤,,
TC-050,使用者登入模組,相容性,於 Chrome 登入,功能正常,,
TC-051,使用者登入模組,相容性,於 Firefox 登入,功能正常,,
TC-052,使用者登入模組,相容性,於行動裝置寬度登入,版面正常可操作,,
TC-053,使用者登入模組,等價類,密碼含特殊字元(正確),登入成功,,
TC-054,使用者登入模組,邊界值,Email 超長(100+字元),登入失敗不崩潰,,
TC-055,使用者登入模組,場景法,登入後加入購物車再登出,購物車狀態依規則處理,,
TC-056,使用者登入模組,等價類,瀏覽器自動填入帳密登入,可成功登入,,
TC-057,使用者登入模組,等價類,複製貼上帳密登入,可成功登入,,
TC-058,使用者登入模組,場景法,登入頁同時測 Signup 區塊互不干擾,兩表單獨立運作,,
